 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
vanilla_pyspark_sql,sql,90,1.394254,9,pyspark,2023-12-25T15:15:40.732305,
vanilla_pyspark_df_grp_builtin,sql,90,0.464656,9,pyspark,2023-12-25T15:15:41.355487,
vanilla_pyspark_df_grp_pandas,pandas,90,4.462746,9,pyspark,2023-12-25T15:15:45.963540,
vanilla_pyspark_df_grp_numpy,pandas,90,3.958788,9,pyspark,2023-12-25T15:15:50.084998,
vanilla_pyspark_rdd_grp_map,rdd,90,19.994377,9,pyspark,2023-12-25T15:16:10.236672,
vanilla_pyspark_rdd_reduce,rdd,90,23.865367,9,pyspark,2023-12-25T15:16:34.258279,
 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
vanilla_pyspark_sql,sql,90,1.783707,9,pyspark,2023-12-30T08:59:41.858263,
vanilla_pyspark_df_grp_builtin,sql,90,0.724260,9,pyspark,2023-12-30T08:59:42.736060,
vanilla_pyspark_df_grp_pandas,pandas,90,5.075577,9,pyspark,2023-12-30T08:59:47.957727,
vanilla_pyspark_df_grp_numpy,pandas,90,4.185248,9,pyspark,2023-12-30T08:59:52.306988,
vanilla_pyspark_rdd_grp_map,rdd,90,20.602185,9,pyspark,2023-12-30T09:00:13.064052,
vanilla_pyspark_rdd_reduce,rdd,90,24.145924,9,pyspark,2023-12-30T09:00:37.367906,
vanilla_pyspark_rdd_grp_map,rdd,90,28.334466,9,pyspark,2023-12-30T09:01:05.852956,
 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
vanilla_pyspark_sql,sql,90,1.499395,9,pyspark,2023-12-30T10:11:53.541709,
vanilla_pyspark_df_grp_builtin,sql,90,0.645448,9,pyspark,2023-12-30T10:11:54.345897,
vanilla_pyspark_df_grp_pandas,pandas,90,4.383180,9,pyspark,2023-12-30T10:11:58.893969,
vanilla_pyspark_df_grp_numpy,pandas,90,3.887763,9,pyspark,2023-12-30T10:12:02.941740,
vanilla_pyspark_rdd_grp_map,rdd,90,19.291371,9,pyspark,2023-12-30T10:12:22.381167,
 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
vanilla_pyspark_sql,sql,90,1.382585,9,pyspark,2023-12-30T10:14:04.367304,
