 strategy_name,interface,num_source_rows,elapsed_time,record_count,engine,finished_at,
vanilla_py_st_pd_grp_numpy,pandas,9,0.009556,9,python_single_threaded,2024-07-07T16:04:07.769551,
vanilla_py_st_pd_grp_numpy,pandas,90,0.013019,9,python_single_threaded,2024-07-07T16:04:07.927437,
vanilla_py_st_pd_grp_numpy,pandas,900,0.011174,9,python_single_threaded,2024-07-07T16:04:08.077949,
vanilla_py_st_pd_grp_numpy,pandas,9000,0.008009,9,python_single_threaded,2024-07-07T16:04:08.221438,
vanilla_py_st_pd_grp_numpy,pandas,90000,0.016101,9,python_single_threaded,2024-07-07T16:04:08.378926,
vanilla_py_st_pd_grp_numpy,pandas,900000,0.076853,9,python_single_threaded,2024-07-07T16:04:08.592306,
vanilla_py_st_pd_grp_numba,pandas,9,0.010019,9,python_single_threaded,2024-07-07T16:04:08.736905,
vanilla_py_st_pd_grp_numba,pandas,90,0.013011,9,python_single_threaded,2024-07-07T16:04:08.894034,
vanilla_py_st_pd_grp_numba,pandas,900,0.016021,9,python_single_threaded,2024-07-07T16:04:09.062983,
vanilla_py_st_pd_grp_numba,pandas,9000,0.014240,9,python_single_threaded,2024-07-07T16:04:09.227721,
vanilla_py_st_pd_grp_numba,pandas,90000,0.017011,9,python_single_threaded,2024-07-07T16:04:09.395753,
vanilla_py_st_pd_grp_numba,pandas,900000,0.078013,9,python_single_threaded,2024-07-07T16:04:09.619154,
 strategy_name,interface,num_source_rows,elapsed_time,record_count,engine,finished_at,
vanilla_py_st_pd_grp_numpy,pandas,9,0.007001,9,python_single_threaded,2024-07-07T16:04:32.507037,
vanilla_py_st_pd_grp_numpy,pandas,90,0.009509,9,python_single_threaded,2024-07-07T16:04:32.667921,
vanilla_py_st_pd_grp_numpy,pandas,900,0.010128,9,python_single_threaded,2024-07-07T16:04:32.820595,
vanilla_py_st_pd_grp_numpy,pandas,9000,0.009091,9,python_single_threaded,2024-07-07T16:04:32.963944,
vanilla_py_st_pd_grp_numpy,pandas,90000,0.014271,9,python_single_threaded,2024-07-07T16:04:33.115553,
vanilla_py_st_pd_grp_numpy,pandas,900000,0.084775,9,python_single_threaded,2024-07-07T16:04:33.334891,
vanilla_py_st_pd_grp_numpy,pandas,9000000,0.863525,9,python_single_threaded,2024-07-07T16:04:34.333689,
vanilla_py_st_pd_grp_numba,pandas,9,0.008021,9,python_single_threaded,2024-07-07T16:04:34.477111,
vanilla_py_st_pd_grp_numba,pandas,90,0.012014,9,python_single_threaded,2024-07-07T16:04:34.635112,
vanilla_py_st_pd_grp_numba,pandas,900,0.010008,9,python_single_threaded,2024-07-07T16:04:34.802454,
vanilla_py_st_pd_grp_numba,pandas,9000,0.015023,9,python_single_threaded,2024-07-07T16:04:34.960593,
