 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
bi_level_dask_sql_nested_no_gpu,ddf,90,0.131999,3,dask,2024-07-22T18:52:41.307698,
bi_level_dask_sql_nested_no_gpu,ddf,900000,0.189233,3,dask,2024-07-22T18:52:41.661650,
bi_level_dask_sql_nested_no_gpu,ddf,900000,0.279921,3,dask,2024-07-22T18:52:42.091384,
bi_level_dask_sql_nested_no_gpu,ddf,900000,0.984683,3,dask,2024-07-22T18:52:43.220691,
bi_level_dask_sql_nested_no_gpu,ddf,900000,8.833644,3,dask,2024-07-22T18:52:52.197528,
bi_level_dask_sql_single_join_no_gpu,ddf,90,0.168008,3,dask,2024-07-22T18:52:52.513585,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,0.220033,3,dask,2024-07-22T18:52:52.877631,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,0.328493,3,dask,2024-07-22T18:52:53.351798,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1.041933,3,dask,2024-07-22T18:52:54.538973,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,8.566931,3,dask,2024-07-22T18:53:03.251964,
bi_level_dask_sql_temp_join_no_gpu,ddf,90,0.173134,3,dask,2024-07-22T18:53:03.570021,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,0.262419,3,dask,2024-07-22T18:53:03.976568,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,0.325643,3,dask,2024-07-22T18:53:04.446437,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1.101005,3,dask,2024-07-22T18:53:05.689142,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,8.249649,3,dask,2024-07-22T18:53:14.089123,
