# 2023-07-18
 strategy,interface,dataSize,relCard,elapsedTime,recordCount,finishedAt,
bi_sql_join,sql,90,1,1.079911,3,2023-07-18T22:47:31.469755,
bi_fluent_join,fluent,90,1,0.749052,3,2023-07-18T22:47:32.352391,
bi_pandas,pandas,90,1,3.820006,3,2023-07-18T22:47:36.317376,
bi_pandas_numba,pandas,90,1,14.642017,3,2023-07-18T22:47:51.110264,
 strategy,interface,dataSize,relCard,elapsedTime,recordCount,finishedAt,
bi_sql_join,sql,90,1,1.697657,3,2023-07-18T22:49:40.359162,
bi_fluent_join,fluent,90,1,1.018894,3,2023-07-18T22:49:41.537591,
bi_pandas,pandas,90,1,3.994185,3,2023-07-18T22:49:45.671890,
bi_pandas_numba,pandas,90,1,13.795028,3,2023-07-18T22:49:59.612338,
bi_sql_nested,sql,90,1,0.934073,3,2023-07-18T22:50:00.720404,
 strategy,interface,dataSize,relCard,elapsedTime,recordCount,finishedAt,
bi_sql_join,sql,90,1,1.703894,3,2023-07-18T22:58:37.941241,
bi_fluent_join,fluent,90,1,0.992395,3,2023-07-18T22:58:39.073220,
bi_pandas,pandas,90,1,3.738684,3,2023-07-18T22:58:42.940453,
bi_pandas_numba,pandas,90,1,13.316481,3,2023-07-18T22:58:56.401040,
bi_sql_nested,sql,90,1,0.819087,3,2023-07-18T22:58:57.385288,
bi_fluent_nested,fluent,90,1,0.667795,3,2023-07-18T22:58:58.198530,
bi_fluent_window,fluent,90,1,0.978711,3,2023-07-18T22:58:59.329816,
bi_rdd_grpmap,rdd,90,1,13.107507,3,2023-07-18T22:59:12.577875,
bi_rdd_reduce1,rdd,90,1,21.704294,3,2023-07-18T22:59:34.428090,
bi_rdd_reduce2,rdd,90,1,11.025781,3,2023-07-18T22:59:45.602833,
 strategy,interface,dataSize,relCard,elapsedTime,recordCount,finishedAt,
bi_rdd_reduce2,rdd,90,1,11.162571,3,2023-07-19T06:00:00.640004,
bi_rdd_mappart,rdd,90,1,20.897911,3,2023-07-19T06:00:21.676367,
# 2023-09-03
 strategy,interface,dataSize,relCard,elapsedTime,recordCount,finishedAt,
bi_sql_join,sql,900000,10,6.297493,3,2023-09-03T15:40:57.336256,
bi_fluent_join,fluent,900000,10,4.084660,3,2023-09-03T15:41:01.587922,
bi_pandas,pandas,900000,10,10.417103,3,2023-09-03T15:41:12.144426,
bi_pandas_numba,pandas,900000,10,18.111513,3,2023-09-03T15:41:30.411680,
bi_sql_nested,sql,900000,10,4.968922,3,2023-09-03T15:41:35.545451,
bi_fluent_nested,fluent,900000,10,5.000435,3,2023-09-03T15:41:40.698328,
bi_fluent_window,fluent,900000,10,9.950613,3,2023-09-03T15:41:50.798331,
bi_rdd_reduce1,rdd,900000,10,198.323880,3,2023-09-03T15:45:09.266487,
bi_rdd_reduce2,rdd,900000,10,120.279355,3,2023-09-03T15:47:09.710687,
bi_rdd_mappart,rdd,900000,10,189.588366,3,2023-09-03T15:50:19.452601,
