 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition
success,method_rdd_reduce,rdd,2,2,0,1,4.150373,1,FALSE,TRUE
success,method_rdd_reduce,rdd,3,3,0,1,4.293423,1,FALSE,TRUE
success,method_rdd_reduce,rdd,6,6,1,1,5.368138,1,FALSE,TRUE
success,method_rdd_reduce,rdd,2,11,1,10,4.113318,10,FALSE,TRUE
success,method_rdd_reduce,rdd,3,21,1,10,4.377079,10,FALSE,TRUE
success,method_rdd_reduce,rdd,6,51,2,10,5.427419,10,FALSE,TRUE
success,method_rdd_reduce,rdd,2,2,0,1,3.782111,1,FALSE,TRUE
success,method_rdd_reduce,rdd,3,3,0,1,4.142962,1,FALSE,TRUE
success,method_rdd_reduce,rdd,6,6,1,1,5.343180,1,FALSE,TRUE
success,method_rdd_reduce,rdd,2,11,1,10,4.007383,10,FALSE,TRUE
success,method_rdd_reduce,rdd,3,21,1,10,4.163494,10,FALSE,TRUE
success,method_rdd_reduce,rdd,6,51,2,10,5.328828,10,FALSE,TRUE
success,method_rdd_reduce,rdd,2,2,0,1,3.739359,1,FALSE,TRUE
success,method_rdd_reduce,rdd,3,3,0,1,4.150218,1,FALSE,TRUE
success,method_rdd_reduce,rdd,6,6,1,1,5.321995,1,FALSE,TRUE
success,method_rdd_reduce,rdd,2,11,1,10,3.784791,10,FALSE,TRUE
success,method_rdd_reduce,rdd,3,21,1,10,4.139521,10,FALSE,TRUE
success,method_rdd_reduce,rdd,6,51,2,10,5.344183,10,FALSE,TRUE
success,method_rdd_reduce,rdd,2,2,0,1,3.735680,1,FALSE,TRUE
success,method_rdd_reduce,rdd,3,3,0,1,4.170574,1,FALSE,TRUE
success,method_rdd_reduce,rdd,6,6,1,1,5.282305,1,FALSE,TRUE
success,method_rdd_reduce,rdd,2,11,1,10,3.739882,10,FALSE,TRUE
success,method_rdd_reduce,rdd,3,21,1,10,4.145464,10,FALSE,TRUE
success,method_rdd_reduce,rdd,6,51,2,10,5.317718,10,FALSE,TRUE
success,method_rdd_reduce,rdd,2,2,0,1,4.082987,1,FALSE,TRUE
success,method_rdd_reduce,rdd,3,3,0,1,4.250288,1,FALSE,TRUE
success,method_rdd_reduce,rdd,6,6,1,1,6.204509,1,FALSE,TRUE
success,method_rdd_reduce,rdd,2,11,1,10,4.647998,10,FALSE,TRUE
success,method_rdd_reduce,rdd,3,21,1,10,5.076073,10,FALSE,TRUE
success,method_rdd_reduce,rdd,6,51,2,10,5.514242,10,FALSE,TRUE
success,method_rdd_reduce,rdd,2,2,0,1,3.997357,1,FALSE,TRUE
success,method_rdd_reduce,rdd,3,3,0,1,4.558517,1,FALSE,TRUE
success,method_rdd_reduce,rdd,6,6,1,1,5.433924,1,FALSE,TRUE
success,method_rdd_reduce,rdd,2,11,1,10,4.099919,10,FALSE,TRUE
success,method_rdd_reduce,rdd,3,21,1,10,4.461658,10,FALSE,TRUE
success,method_rdd_reduce,rdd,6,51,2,10,5.920149,10,FALSE,TRUE
success,method_rdd_reduce,rdd,2,2,0,1,4.185452,1,FALSE,TRUE
success,method_rdd_reduce,rdd,3,3,0,1,4.235499,1,FALSE,TRUE
success,method_rdd_reduce,rdd,6,6,1,1,5.442977,1,FALSE,TRUE
success,method_rdd_reduce,rdd,2,11,1,10,3.774866,10,FALSE,TRUE
success,method_rdd_reduce,rdd,3,21,1,10,4.130207,10,FALSE,TRUE
success,method_rdd_reduce,rdd,6,51,2,10,5.749681,10,FALSE,TRUE
