 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
da_vanilla_pandas,da_pandas,9,0.390387,9,dask,2024-01-07T21:21:26.422147,
da_vanilla_pandas,da_pandas,90,0.198090,9,dask,2024-01-07T21:21:26.756486,
da_vanilla_pandas,da_pandas,900,0.185176,9,dask,2024-01-07T21:21:27.076718,
da_vanilla_pandas,da_pandas,9000,0.202857,9,dask,2024-01-07T21:21:27.416200,
da_vanilla_pandas,da_pandas,90000,0.228817,9,dask,2024-01-07T21:21:27.783451,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
da_vanilla_pandas,da_pandas,90,0.460291,9,dask,2024-01-08T21:09:14.500932,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
 vanilla_dask_ddf_grp_udaf,ddf,90,9.726663,9,dask,2024-06-23T12:39:36.515031,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
vanilla_dask_ddf_grp_apply,ddf,90,0.604851,9,dask,2024-06-29T08:14:04.214267,
vanilla_dask_ddf_grp_udaf,ddf,90,0.203494,9,dask,2024-06-29T08:14:04.573241,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
vanilla_dask_ddf_grp_apply,ddf,9,0.441967,9,dask,2024-06-29T08:14:46.480335,
vanilla_dask_ddf_grp_apply,ddf,90,0.226236,9,dask,2024-06-29T08:14:46.864048,
vanilla_dask_ddf_grp_apply,ddf,900,0.245448,9,dask,2024-06-29T08:14:47.270131,
vanilla_dask_ddf_grp_apply,ddf,9000,0.229460,9,dask,2024-06-29T08:14:47.658792,
vanilla_dask_ddf_grp_apply,ddf,90000,0.241867,9,dask,2024-06-29T08:14:48.061814,
vanilla_dask_ddf_grp_udaf,ddf,9,0.154254,9,dask,2024-06-29T08:14:48.542263,
vanilla_dask_ddf_grp_udaf,ddf,90,0.177312,9,dask,2024-06-29T08:14:48.872732,
vanilla_dask_ddf_grp_udaf,ddf,900,0.191842,9,dask,2024-06-29T08:14:49.217006,
vanilla_dask_ddf_grp_udaf,ddf,9000,0.167177,9,dask,2024-06-29T08:14:49.538282,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.209797,9,dask,2024-06-29T08:14:49.903485,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
vanilla_dask_ddf_grp_apply,ddf,9,0.498295,9,dask,2024-06-29T08:16:13.778497,
vanilla_dask_ddf_grp_apply,ddf,90,0.217631,9,dask,2024-06-29T08:16:14.174143,
vanilla_dask_ddf_grp_apply,ddf,900,0.280679,9,dask,2024-06-29T08:16:14.628087,
vanilla_dask_ddf_grp_apply,ddf,9000,0.214864,9,dask,2024-06-29T08:16:15.003420,
vanilla_dask_ddf_grp_apply,ddf,90000,0.374387,9,dask,2024-06-29T08:16:15.537913,
vanilla_dask_ddf_grp_udaf,ddf,9,0.157900,9,dask,2024-06-29T08:16:16.037674,
vanilla_dask_ddf_grp_udaf,ddf,90,0.183533,9,dask,2024-06-29T08:16:16.374283,
vanilla_dask_ddf_grp_udaf,ddf,900,0.151498,9,dask,2024-06-29T08:16:16.682670,
vanilla_dask_ddf_grp_udaf,ddf,9000,0.182396,9,dask,2024-06-29T08:16:17.023199,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.222924,9,dask,2024-06-29T08:16:17.408100,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
vanilla_dask_ddf_grp_apply,ddf,9,0.428334,9,dask,2024-06-29T08:17:20.864870,
vanilla_dask_ddf_grp_apply,ddf,90,0.213859,9,dask,2024-06-29T08:17:21.235843,
vanilla_dask_ddf_grp_apply,ddf,900,0.203737,9,dask,2024-06-29T08:17:21.594704,
vanilla_dask_ddf_grp_apply,ddf,9000,0.190041,9,dask,2024-06-29T08:17:21.940369,
vanilla_dask_ddf_grp_apply,ddf,90000,0.247143,9,dask,2024-06-29T08:17:22.345448,
vanilla_dask_ddf_grp_udaf,ddf,9,0.157342,9,dask,2024-06-29T08:17:22.821941,
vanilla_dask_ddf_grp_udaf,ddf,90,0.197190,9,dask,2024-06-29T08:17:23.172768,
vanilla_dask_ddf_grp_udaf,ddf,900,0.136962,9,dask,2024-06-29T08:17:23.479402,
vanilla_dask_ddf_grp_udaf,ddf,9000,0.168378,9,dask,2024-06-29T08:17:23.805705,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.219182,9,dask,2024-06-29T08:17:24.200961,
