 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
vanilla_py_only_pd_grp_numpy,pandas,90,23.910977,9,python_only,2024-07-07T11:15:17.919877,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
vanilla_py_only_pd_grp_numba,pandas,90,16.896395,9,python_only,2024-07-07T11:33:09.243486,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
vanilla_py_only_pd_grp_numpy,pandas,90,0.015703,9,python_only,2024-07-07T11:33:43.154079,
vanilla_py_only_pd_grp_numpy,pandas,900,0.016090,9,python_only,2024-07-07T11:33:43.320561,
vanilla_py_only_pd_grp_numpy,pandas,9000,0.012016,9,python_only,2024-07-07T11:33:43.476464,
vanilla_py_only_pd_grp_numpy,pandas,90000,0.022056,9,python_only,2024-07-07T11:33:43.638691,
vanilla_py_only_pd_grp_numpy,pandas,900000,0.096007,9,python_only,2024-07-07T11:33:43.877252,
vanilla_py_only_pd_grp_numba,pandas,90,0.015434,9,python_only,2024-07-07T11:33:44.034060,
vanilla_py_only_pd_grp_numba,pandas,900,0.013519,9,python_only,2024-07-07T11:33:44.201130,
vanilla_py_only_pd_grp_numba,pandas,9000,0.032011,9,python_only,2024-07-07T11:33:44.380716,
vanilla_py_only_pd_grp_numba,pandas,90000,0.027254,9,python_only,2024-07-07T11:33:44.553598,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
vanilla_py_only_pd_grp_numpy,pandas,90,0.025438,9,python_only,2024-07-07T11:49:23.768249,
vanilla_py_only_pd_grp_numpy,pandas,900,0.018946,9,python_only,2024-07-07T11:49:23.952369,
vanilla_py_only_pd_grp_numpy,pandas,9000,0.014598,9,python_only,2024-07-07T11:49:24.108654,
vanilla_py_only_pd_grp_numpy,pandas,90000,0.017516,9,python_only,2024-07-07T11:49:24.270471,
vanilla_py_only_pd_grp_numpy,pandas,900000,0.093748,9,python_only,2024-07-07T11:49:24.504796,
vanilla_py_only_pd_grp_numba,pandas,90,0.017548,9,python_only,2024-07-07T11:49:24.658589,
vanilla_py_only_pd_grp_numba,pandas,900,0.030160,9,python_only,2024-07-07T11:49:24.840499,
vanilla_py_only_pd_grp_numba,pandas,9000,0.017009,9,python_only,2024-07-07T11:49:25.006111,
vanilla_py_only_pd_grp_numba,pandas,90000,0.022373,9,python_only,2024-07-07T11:49:25.174795,
vanilla_py_only_pd_grp_numba,pandas,900000,0.083701,9,python_only,2024-07-07T11:49:25.406366,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
vanilla_py_only_pd_grp_numba,pandas,90,0.005999,9,python_only,2024-07-07T15:58:04.232837,
vanilla_py_only_pd_grp_numpy,pandas,90,0.006275,9,python_only,2024-07-07T15:58:04.387438,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
vanilla_py_only_pd_grp_numpy,pandas,9,0.009556,9,python_only,2024-07-07T16:04:07.769551,
vanilla_py_only_pd_grp_numpy,pandas,90,0.013019,9,python_only,2024-07-07T16:04:07.927437,
vanilla_py_only_pd_grp_numpy,pandas,900,0.011174,9,python_only,2024-07-07T16:04:08.077949,
