 strategy,interface,num_data_points,elapsed_time,record_count,engine,finished_at,
vanilla_dask_ddf_grp_udaf,ddf,900,0.127335,9,dask,2024-07-21T10:45:21.372647,
vanilla_dask_sql_no_gpu,ddf,9000000,0.903854,9,dask,2024-07-21T10:45:22.421615,
vanilla_dask_ddf_grp_udaf,ddf,9000,0.134852,9,dask,2024-07-21T10:45:22.704895,
vanilla_dask_sql_no_gpu,ddf,9,0.081975,9,dask,2024-07-21T10:45:22.931901,
vanilla_dask_sql_no_gpu,ddf,900,0.103004,9,dask,2024-07-21T10:45:23.181708,
vanilla_dask_ddf_grp_udaf,ddf,9,0.082016,9,dask,2024-07-21T10:45:23.407701,
vanilla_dask_ddf_grp_udaf,ddf,900,0.154290,9,dask,2024-07-21T10:45:23.707968,
vanilla_dask_sql_no_gpu,ddf,9000000,0.880886,9,dask,2024-07-21T10:45:24.737438,
vanilla_dask_ddf_grp_apply,ddf,90000,0.139825,9,dask,2024-07-21T10:45:25.022493,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.139121,9,dask,2024-07-21T10:45:25.306188,
vanilla_dask_sql_no_gpu,ddf,900,0.100208,9,dask,2024-07-21T10:45:25.552426,
vanilla_dask_sql_no_gpu,ddf,9,0.083031,9,dask,2024-07-21T10:45:25.781080,
vanilla_dask_ddf_grp_udaf,ddf,9,0.086814,9,dask,2024-07-21T10:45:26.016887,
vanilla_dask_ddf_grp_apply,ddf,9000,0.103294,9,dask,2024-07-21T10:45:26.430083,
vanilla_dask_ddf_grp_udaf,ddf,90,0.126020,9,dask,2024-07-21T10:45:26.859166,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.139031,9,dask,2024-07-21T10:45:27.141997,
vanilla_dask_sql_no_gpu,ddf,90000,0.116992,9,dask,2024-07-21T10:45:27.406642,
vanilla_dask_ddf_grp_apply,ddf,90,0.093305,9,dask,2024-07-21T10:45:27.645160,
vanilla_dask_sql_no_gpu,ddf,9000000,0.887352,9,dask,2024-07-21T10:45:28.678713,
vanilla_dask_sql_no_gpu,ddf,9000000,0.894635,9,dask,2024-07-21T10:45:29.718603,
vanilla_dask_sql_no_gpu,ddf,900000,0.162135,9,dask,2024-07-21T10:45:30.026523,
vanilla_dask_ddf_grp_apply,ddf,90,0.096045,9,dask,2024-07-21T10:45:30.269971,
vanilla_dask_sql_no_gpu,ddf,9,0.082020,9,dask,2024-07-21T10:45:30.653478,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.145077,9,dask,2024-07-21T10:45:30.946067,
vanilla_dask_ddf_grp_apply,ddf,9,0.054027,9,dask,2024-07-21T10:45:31.300082,
vanilla_dask_sql_no_gpu,ddf,9000000,0.888857,9,dask,2024-07-21T10:45:32.338021,
vanilla_dask_ddf_grp_apply,ddf,900,0.101223,9,dask,2024-07-21T10:45:32.585954,
vanilla_dask_ddf_grp_udaf,ddf,9,0.085701,9,dask,2024-07-21T10:45:32.817751,
vanilla_dask_sql_no_gpu,ddf,90000,0.115180,9,dask,2024-07-21T10:45:33.078731,
vanilla_dask_ddf_grp_apply,ddf,9,0.052920,9,dask,2024-07-21T10:45:33.277897,
vanilla_dask_ddf_grp_udaf,ddf,900,0.129122,9,dask,2024-07-21T10:45:33.557665,
vanilla_dask_sql_no_gpu,ddf,9000,0.104352,9,dask,2024-07-21T10:45:33.806765,
vanilla_dask_ddf_grp_apply,ddf,9000,0.111032,9,dask,2024-07-21T10:45:34.064033,
vanilla_dask_ddf_grp_apply,ddf,900,0.100245,9,dask,2024-07-21T10:45:34.465187,
vanilla_dask_sql_no_gpu,ddf,900,0.100967,9,dask,2024-07-21T10:45:34.714811,
vanilla_dask_sql_no_gpu,ddf,9000,0.104992,9,dask,2024-07-21T10:45:35.122058,
vanilla_dask_ddf_grp_apply,ddf,900,0.101515,9,dask,2024-07-21T10:45:35.367000,
vanilla_dask_ddf_grp_apply,ddf,900,0.098148,9,dask,2024-07-21T10:45:35.609955,
vanilla_dask_sql_no_gpu,ddf,90,0.101987,9,dask,2024-07-21T10:45:35.856422,
vanilla_dask_ddf_grp_apply,ddf,900,0.098554,9,dask,2024-07-21T10:45:36.261468,
vanilla_dask_sql_no_gpu,ddf,90000,0.112992,9,dask,2024-07-21T10:45:36.519398,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.141546,9,dask,2024-07-21T10:45:36.809202,
vanilla_dask_ddf_grp_apply,ddf,9,0.058151,9,dask,2024-07-21T10:45:37.012643,
vanilla_dask_sql_no_gpu,ddf,900000,0.162421,9,dask,2024-07-21T10:45:37.638710,
vanilla_dask_sql_no_gpu,ddf,90000,0.114172,9,dask,2024-07-21T10:45:38.051273,
vanilla_dask_ddf_grp_udaf,ddf,900,0.120932,9,dask,2024-07-21T10:45:38.318065,
vanilla_dask_ddf_grp_apply,ddf,9000,0.104009,9,dask,2024-07-21T10:45:38.567136,
vanilla_dask_ddf_grp_udaf,ddf,90,0.120236,9,dask,2024-07-21T10:45:38.833082,
vanilla_dask_ddf_grp_apply,ddf,90,0.091917,9,dask,2024-07-21T10:45:39.069562,
vanilla_dask_sql_no_gpu,ddf,90000,0.116058,9,dask,2024-07-21T10:45:39.488027,
vanilla_dask_ddf_grp_udaf,ddf,9,0.085017,9,dask,2024-07-21T10:45:39.717596,
vanilla_dask_ddf_grp_udaf,ddf,900,0.129931,9,dask,2024-07-21T10:45:39.990603,
vanilla_dask_ddf_grp_apply,ddf,90000,0.128444,9,dask,2024-07-21T10:45:40.263638,
vanilla_dask_ddf_grp_apply,ddf,9000,0.108530,9,dask,2024-07-21T10:45:40.517318,
vanilla_dask_ddf_grp_apply,ddf,9000,0.103428,9,dask,2024-07-21T10:45:40.921170,
vanilla_dask_ddf_grp_apply,ddf,90,0.091335,9,dask,2024-07-21T10:45:41.157200,
vanilla_dask_ddf_grp_apply,ddf,9000,0.108755,9,dask,2024-07-21T10:45:41.566595,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.139991,9,dask,2024-07-21T10:45:41.850193,
vanilla_dask_sql_no_gpu,ddf,90000,0.113203,9,dask,2024-07-21T10:45:42.417488,
