challenge,strategy_name,language,engine,interface,regressor,number_of_runs,elapsed_time_avg,elapsed_time_std,elapsed_time_rl,elapsed_time_rh
vanilla,vanilla_dask_bag_accumulate,python,dask,bag,9,31,4.6648950000000005,0.04332553207443998,4.649643549517679,4.680146450482322
vanilla,vanilla_dask_bag_accumulate,python,dask,bag,90,31,4.960709516129033,0.05506454793111505,4.941325698183996,4.980093334074071
vanilla,vanilla_dask_bag_accumulate,python,dask,bag,900,31,4.958962612903226,0.10356395736602494,4.922506036563727,4.995419189242724
vanilla,vanilla_dask_bag_accumulate,python,dask,bag,9000,31,5.012572548387097,0.049217214977308375,4.995247108140582,5.029897988633612
vanilla,vanilla_dask_bag_accumulate,python,dask,bag,90000,31,5.822352161290323,0.04239820347302205,5.807427148951244,5.837277173629402
vanilla,vanilla_dask_bag_accumulate,python,dask,bag,900000,31,13.42447558064516,0.17006566046359348,13.364609079874958,13.484342081415361
vanilla,vanilla_dask_bag_accumulate,python,dask,bag,9000000,31,91.26919858064517,6.7497967135975125,88.89313565852581,93.64526150276453
vanilla,vanilla_dask_bag_fold,python,dask,bag,9,31,4.6242989032258075,0.06475361071392331,4.601504342142101,4.647093464309514
vanilla,vanilla_dask_bag_fold,python,dask,bag,90,31,4.943929516129031,0.0452547929961539,4.927998927364819,4.9598601048932425
vanilla,vanilla_dask_bag_fold,python,dask,bag,900,31,4.948502999999999,0.05176828286573424,4.930279533030799,4.966726466969199
vanilla,vanilla_dask_bag_fold,python,dask,bag,9000,31,4.956032645161289,0.0577304304831507,4.935710383444477,4.976354906878101
vanilla,vanilla_dask_bag_fold,python,dask,bag,90000,31,5.056808096774194,0.0460096074817386,5.040611798272582,5.073004395275806
vanilla,vanilla_dask_bag_fold,python,dask,bag,900000,31,6.086012677419354,0.1690792234081185,6.026493422145865,6.145531932692842
vanilla,vanilla_dask_bag_fold,python,dask,bag,9000000,31,13.516553838709674,0.7510970111220476,13.252152726384828,13.78095495103452
vanilla,vanilla_dask_bag_foldby,python,dask,bag,9,31,4.637885129032259,0.04766448059001725,4.621106282225826,4.654663975838693
vanilla,vanilla_dask_bag_foldby,python,dask,bag,90,31,4.960096322580646,0.030275962685918683,4.949438580514939,4.970754064646353
vanilla,vanilla_dask_bag_foldby,python,dask,bag,900,31,4.96776335483871,0.03399126275534973,4.955797753127135,4.979728956550285
vanilla,vanilla_dask_bag_foldby,python,dask,bag,9000,31,4.979783032258064,0.05215713401858139,4.961422681935823,4.998143382580305
vanilla,vanilla_dask_bag_foldby,python,dask,bag,90000,31,5.067442193548389,0.0442012323285369,5.051882479129694,5.083001907967083
vanilla,vanilla_dask_bag_foldby,python,dask,bag,900000,31,6.070948258064516,0.05543035168086635,6.05143566991151,6.090460846217522
vanilla,vanilla_dask_bag_foldby,python,dask,bag,9000000,31,13.385054903225809,0.19799296788175003,13.315357433837363,13.454752372614255
vanilla,vanilla_dask_bag_map_partitions,python,dask,bag,9,31,4.770980516129033,0.22152657982175578,4.6929987464680245,4.848962285790041
vanilla,vanilla_dask_bag_map_partitions,python,dask,bag,90,31,5.075006290322582,0.1443764533505363,5.024182902272653,5.1258296783725115
vanilla,vanilla_dask_bag_map_partitions,python,dask,bag,900,31,5.1198236774193555,0.16472872184622964,5.061835885372456,5.177811469466255
vanilla,vanilla_dask_bag_map_partitions,python,dask,bag,9000,31,4.9698663225806445,0.05892237216393952,4.949124473644659,4.99060817151663
vanilla,vanilla_dask_bag_map_partitions,python,dask,bag,90000,31,5.12202070967742,0.12010363776289039,5.0797418363114755,5.1642995830433644
vanilla,vanilla_dask_bag_map_partitions,python,dask,bag,900000,31,6.181332290322582,0.12687600210525588,6.136669409779568,6.2259951708655965
vanilla,vanilla_dask_bag_map_partitions,python,dask,bag,9000000,31,14.060028774193547,0.3120025571545538,13.950197657921864,14.169859890465231
vanilla,vanilla_dask_bag_reduction,python,dask,bag,9,31,4.653748354838709,0.07632165743332557,4.626881610834893,4.680615098842525
vanilla,vanilla_dask_bag_reduction,python,dask,bag,90,31,4.956399516129034,0.03418628666182872,4.944365262116839,4.968433770141229
vanilla,vanilla_dask_bag_reduction,python,dask,bag,900,31,4.963675354838709,0.02813408884082127,4.953771595039896,4.973579114637522
vanilla,vanilla_dask_bag_reduction,python,dask,bag,9000,31,4.967770387096774,0.038394982749206004,4.954254588210265,4.981286185983283
vanilla,vanilla_dask_bag_reduction,python,dask,bag,90000,31,5.053989677419355,0.04226113687253503,5.0391129152544805,5.068866439584229
vanilla,vanilla_dask_bag_reduction,python,dask,bag,900000,31,6.030287516129033,0.05000811329832453,6.012683663916133,6.047891368341934
vanilla,vanilla_dask_bag_reduction,python,dask,bag,9000000,31,13.288690967741937,0.22260718426643875,13.210328803787082,13.367053131696792
vanilla,vanilla_dask_ddf_grp_apply,python,dask,ddf,9,100,0.05151271,0.0024646882413749045,0.051029639981378584,0.05199578001862142
vanilla,vanilla_dask_ddf_grp_apply,python,dask,ddf,90,100,0.09056582,0.006019205304068407,0.08938607743884736,0.09174556256115265
vanilla,vanilla_dask_ddf_grp_apply,python,dask,ddf,900,100,0.09643899999999998,0.0035315311842103988,0.09574683260686674,0.09713116739313322
